Name of District,Total Annual Ground Water Recharge,Total Current Annual Ground Water Extraction,Stage of Ground Water Extraction (%)
Ajmer,39575.6,53602.36,149.17
Alwar,84506.7,148795.88,192.6
Banswara,20918.16,10525.83,55.53
Baran,53930.61,57970.13,118.71
Barmer,30343.62,34284.65,124.26
Bharatpur,45525.13,49904.3,119.87
Bhilwara,60211.07,75374.88,138.65
Bikaner,26603.8,41034.31,170.28
Bundi,52215.57,39999.33,84.43
Chittaurgarh,57799.35,73046.64,139.19
Churu,12617.69,12758.51,110.28
Dausa,25660.74,40804.96,176.47
Dhaulpur,26829.87,30538.21,125.37
Dungarpur,14907.91,8847.49,65.7
Ganganagar,45471.02,15750.38,38.49
Hanumangarh,21019.92,12401.02,65.11
Jaipur,79429.66,158209.54,219.83
Jaisalmer,6764.24,17828.21,292.85
Jalor,53247.59,85277.35,177.54
Jhalawar,55278.3,51255.53,100.23
Jhunjhunun,23033.23,45251.41,217.71
Jodhpur,43955.22,86806.36,218.6
Karauli,39700.76,56741.58,158.28
Kota,57319.18,53513.68,103.43
Nagaur,57354.61,101152.06,193.99
Pali,49796.99,57182.22,125.52
Pratapgarh,20663.52,23496.45,122.55
Rajsamand,11238.18,12278.7,121.4
Sawai Madhopur,49004.17,60525.22,134.55
Sikar,30991.84,49530.44,177.58
Sirohi,34724.26,33006.17,104.25
Tonk,46186.17,39482.76,94.58
Udaipur,43712.96,39874.31,101.35
